英文,音标,词性,中文
tenth,/tenθ/,num,第十
term,/tɜ:m/,n,学期；术语；期限
terrible,/'terəbl/,adj,可怕的；极坏的
test,/test/,n,测试，测验
text,/tekst/,n & v,短信；文本；课文
text book,/tekst buk/,n,课本，教科书
text message,/tekst ˈmesidʒ/,n,短信，文字信息
than,/ðæn/,prep & conj,比
thank,/θæŋk/,v,谢谢，感谢
the,/ðə/,det,这，那（定冠词）
theatre,/ˈθɪətə/,n,剧院，剧场
their,/ðeə/,det,他们的
theirs,/ðeəz/,pron,他们的（东西）
them,/ðem/,pron,他们，她们，它们
themselves,/ðəm'selvz/,pron,他们自己
then,/ðen/,adv,然后；当时
there,/ðeə/,adv,在那里
these,/ði:z/,det & pron,这些
they,/ðei/,pron,他们，它们
thin,/θin/,adj,薄的；细的；瘦的
thing,/θiŋ/,n,东西，事物
think,/θiŋk/,v,想，思考，认为
third,/θɜ:d/,num,第三
thirsty,/'θɜ:sti/,adj,口渴的
thirteen,/'θɜ:'ti:n/,num,十三
thirteenth,/'θɜ:ti:nθ/,num,第十三
thirtieth,/'θɜ:tiiθ/,num,第三十
thirty,/'θɜ:ti/,num,三十
thirty-first,/'θɜ:ti:f'ɜ:st/,num,第三十一
this,/θis/,det & pron,这，这个
those,/ðəuz/,det & pron,那些
thousand,/'θauznd/,num,千
three,/θri:/,num,三
through,/θru:/,prep,经过，穿过
throw,/θrəu/,v,投，掷，抛
thumb,/θʌm/,n,拇指
thunderstorm,/'θʌndəstɒ:m/,n,雷暴，雷雨
Thursday,/'θɜ:zdi/,n,星期四
ticket,/'tikit/,n,票，券
tidy,/'taidi/,adj & v,整齐的；整理
tidy up,/'taidi ʌp/,v,整理，收拾
tie,/tai/,n & v,领带；系
tiger,/'taigə/,n,老虎
tights,/taits/,n pl,紧身衣裤，裤袜
till,/til/,prep,直到，在…以前
time,/taim/,n,时间；次，回
tiny,/'taini/,adj,极小的
tired,/taiəd/,adj,疲累的，疲乏的，厌倦的
to,/tu:/,prep,到，向
toast,/təust/,n,烤面包片；吐司
today,/tə'dei/,n & adv,今天；当今
toe,/təu/,n,脚趾
together,/tə'geðə/,adv,一起，共同
toilet,/'tɒilit/,n,厕所，洗手间
tomato,/tə'mɑ:təu/,n,番茄，西红柿
tomorrow,/tə'mɒ:rəu/,n & adv,明天
tonight,/tə'nait/,n & adv,今晚，今夜
too,/tu:/,adv,也；太
tooth,/tu:θ/,n,牙齿
toothbrush,/'tu:θbrʌʃ/,n,牙刷
top,/tɒp/,n,顶部；上衣
total,/'təutl/,adj & n,总共的；总数
tour,/tuə/,n & v,旅游，观光
tour guide,/tuə gaid/,n,导游
tourist,/'tuərist/,n,游客，观光客
tourist information centre,/'tuərist .infə'meiʃən 'sentə/,n,旅游信息中心
towel,/'tauəl/,n,毛巾
town,/taun/,n,城镇
toy,/tɒi/,n,玩具
traffic,/'træfik/,n,交通，运输
traffic lights,/'træfik laits/,n pl,红绿灯
train,/trein/,n,火车；训练
trainers,/'treinəz/,n pl,运动鞋
tram,/træm/,n,有轨电车
travel,/'trævl/,v,旅行，出行
travel agent,/'trævl 'eidʒənt/,n,旅行社；旅行代理人
tree,/tri:/,n,树，树木
triangle,/'traiæŋgl/,n,三角形
trip,/trip/,n,旅行，出行
trouble,/'trʌbl/,n,烦恼，麻烦
trousers,/'trauzəz/,n pl,裤子，长裤
true,/tru:/,adj,真实的
try,/trai/,v,试，尝试
try on,/trai ɒn/,phr v,试穿
T-shirt,"/'ti:,ʃɜ:t/",n,T恤衫，短袖衫
Tuesday,/'tju:zdi/,n,星期二
turn,/tɜ:n/,v,转动，转弯；变得
turn off,/tɜ:n ɒf/,phr v,关掉，关上
turn on,/tɜ:n ɒn/,phr v,打开，开启
TV,/'ti:'vi:/,n,电视
twelfth,/twelfθ/,num,第十二
twelve,/twelv/,num,十二
twentieth,/'twentiiθ/,num,第二十
twenty,/'twenti/,num,二十
twenty-eighth,/'twenti eitθ/,num,第二十八
twenty-fifth,/'twenti fifθ/,num,第二十五
twenty-first,/ˈtwenti: fɜ:st/,num,第二十一
twenty-fourth,/'twenti fɒ:θ/,num,第二十四
twenty-ninth,/'twenti nainθ/,num,第二十九
twenty-second,/ˌtwentɪ'sekənd/,num,第二十二
twenty-seventh,/'twenti 'sevnθ/,num,第二十七
twenty-sixth,/'twenti siksθ/,num,第二十六
twenty-third,/ˌtwentɪ'θɜ:d/,num,第二十三
twice,/twais/,adv,两次；两倍
two,/tu:/,num,二
type,/taip/,n,类型，样式
tyre,/'taiə/,n,轮胎
ugly,/'ʌgli/,adj,丑的
umbrella,/ʌm'brelə/,n,伞，雨伞
uncle,/ʌŋkl/,n,叔叔，伯父，舅舅
under,/'ʌndə/,prep,在…下面
underground,/'ʌndəgraund/,n & adj,地铁；地下的
understand,/.ʌndə'stænd/,v,理解，明白
unhappy,/.ʌn'hæpi/,adj,不高兴的；不快乐的
uniform,/'ju:nifɒ:m/,n,制服
university,/.ju:ni'vɜ:siti/,n,大学
until,/ən'til/,prep,直到
up,/ʌp/,prep & adv,向上；在上面
upstairs,/'ʌp'steəz/,adv,在楼上
us,/ʌs/,pron,我们
use,/ju:s/,v,使用，运用
useful,/'ju:sful/,adj,有用的
usual,/'ju:ʒuəl/,adj,平常的，通常的
usually,/'ju:ʒuəli/,adv,通常
van,/væn/,n,面包车；货车
variety,/və'raiəti/,n,多样，种类
vegetable,/'vedʒətəbl/,n,蔬菜
very,/'veri/,adv,非常
video,/'vidiəu/,n,录像；视频
video recorder,/'vidiəu ri'kɒ:də/,n,录像机
village,/'vilidʒ/,n,村庄
violin,/.vaiə'lin/,n,小提琴
visit,/'vizit/,v,拜访，参观
visitor,/'vizitə/,n,参观者，游客
volleyball,/'vɒlibɒ:l/,n,排球
wait,/weit/,v,等候，等待
waiter,/'weitə/,n,服务员
waitress,/'weitris/,n,女服务员
wake up,/weik ʌp/,phr v,醒来，唤醒
walk,/wɒ:k/,v,走路，步行
wall,/wɒ:l/,n,墙，墙壁
wallet,/'wɒlit/,n,皮夹，钱包
want,/wɒnt/,v,要，想要
warm,/wɒ:m/,adj,暖和的，温暖的
wash,/wɒʃ/,v,洗，洗涤
wash up,/wɒʃ ʌp/,phr v,洗餐具；洗手洗脸
watch,/wɒtʃ/,n & v,手表；观看
water,/'wɒ:tə/,n,水
wave,/weiv/,n & v,波浪；挥手
way,/wei/,n,路，路线；方法
we,/wi:/,pron,我们
weak,/wi:k/,adj,虚弱的
wear,/weə/,v,穿，戴；磨损
weather,/'weðə/,n,天气
website,/ˈwebsaɪt/,n,网站
wedding,/'wediŋ/,n,婚礼
Wednesday,/'wenzdi/,n,星期三
week,/wi:k/,n,星期，周
weekday,/'wi:kdei/,n,工作日，平日
weekend,/'wi:kend/,n,周末
weekly,/'wi:kli/,adj & adv,每周的
welcome,/'welkəm/,v,欢迎
well,/wel/,adv & adj,好；健康的；井
west,/west/,"n, adj & adv",西方；西的
wet,/wet/,adj,湿的，多雨的
whale,/hweil/,n,鲸
what,/hwɒt/,det & pron,什么
wheel,/hwi:l/,n,轮子；车轮
when,/hwen/,adv,何时，当…时候
where,/hweə/,adv,在哪里
which,/hwitʃ/,det & pron,哪一个
while,/hwail/,conj,当…的时候；虽然
white,/hwait/,adj,白色的
who,/hu:/,pron,谁
whole,/həul/,adj & n,整个的，全部的
whose,/hu:z/,pron,谁的
why,/hwai/,adv,为什么
wide,/waid/,adj,宽的
wife,/waif/,n,妻子
wild,/waild/,adj,野生的；野性的
will,/wil/,v,将要；愿意
win,/win/,v,赢得，获胜
wind,/wind/,n,风
window,/'windəu/,n,窗户
windsurfing,/'wind.sɜ:fiŋ/,n,帆板运动
windy,/'windi/,adj,多风的
winner,/'winə/,n,获胜者；赢家
winter,/'wintə/,n,冬季，冬天
wish,/wiʃ/,n & v,愿望；祝愿
wishes,/wiʃiz/,n pl,祝愿，祝福
with,/wið/,prep,和…在一起；用
without,/wi'ðaut/,prep,没有，无
woman,/'wumən/,n,女人，妇女
wonderful,/'wʌndəful/,adj,令人惊奇的；极好的
wood,/wud/,n,木材，木头
wool,/wul/,n,羊毛；毛线
work,/wɜ:k/,n & v,工作，劳动
worker,/'wɜ:kə/,n,工人；工作者
working hours,/'wɜ:kiŋ auəz/,n pl,工作时间
world,/wɜ:ld/,n,世界，地球
worry,/'wʌri/,v,使烦恼；担心
would,/wud/,v,将；愿意
write,/rait/,v,书写，写
write down,/rait daun/,phr v,写下，记下
writer,/'raitə/,n,作家
wrong,/rɒŋ/,adj,错误的
year,/jiə/,n,年，年度
yellow,/'jeləu/,adj,黄色的；黄色
yes,/jes/,exclam,是，对
yesterday,/'jestədi/,n & adv,昨天
yet,/jet/,adv,还，尚
you,/ju:/,pron,你，你们
young,/jʌŋ/,adj,年轻的
your,/juə/,det,你的，你们的
yours,/juəz/,pron,你的（东西），你们的（东西）
yourself,/juə'self/,pron,你自己
zero,/'ziərəu/,n,零
zoo,/zu:/,n,动物园
