单词,音标,词性,中文
pool,/pu:l/,n,"n. 池, 水塘, 石油层, 联营"
quiz,/kwiz/,n,"n. 考查, 课堂测验, 恶作剧, 智力测验"
race,/reis/,n & v,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根"
poor,/puә. pɒ:/,adj,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的"
pop,/pɒp/,n & adj,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术"
popular,/'pɒpjulә/,adj,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的"
possible,/'pɒsәbl/,adj,"a. 可能的, 潜在的, 合适的"
post,/pәust/,v & n,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营"
postcard,/'pәustkɑ:d/,n,n. 明信片
post office,,n,邮局
poster,/'pәustә/,n,"n. 海报, 招贴, 驿马"
potato,/pә'teitәu/,n,n. 马铃薯
pound (£),/paund/,n,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏"
practice,/'præktis/,n,"n. 实践, 练习, 实行, 惯例, 习惯, 开业"
practise,/'præktis/,v,"v. 实践, 实行, 练习, 实习, 从事(职业)"
prefer,/pri'fә:/,v,"vt. 宁可, 较喜欢, 提出"
present,/'preznt/,n,"n. 现在, 礼品, 瞄准"
pretty,/'priti/,adj,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的"
price,/prais/,n,"n. 价格, 代价, 价值"
prize,/praiz/,n,"n. 奖赏, 奖金, 奖品, 战利品, 捕获"
problem,/'prɒblәm/,n,"n. 问题, 难题"
programme,/'prәugræm/,n,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划"
project,/'prɒdʒekt/,n,"n. 计划, 设计, 事业"
pull,/pul/,v,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引"
pupil,/'pju:pl/,n,"n. 学生, 门生, 未成年人, 瞳孔"
purple,/'pә:pl/,adj,"n. 紫色, 帝位"
purse,/pә:s/,n,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物"
push,/puʃ/,v,"n. 推, 推动, 奋斗, 攻击, 进取心"
put,/put/,v,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予"
put on,,phr v,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于"
quarter,/'kwɒ:tә/,n,"n. 四分之一, 一刻钟, 季度, 地区"
queen,/'kwi:n/,n,"n. 王后, 女王"
question,/'kwestʃәn/,n,"n. 问题, 询问"
quick,/kwik/,adj,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的"
quiet,/'kwaiәt/,adj,"n. 安静, 闲适, 平静"
quite,/kwait/,adv,"adv. 相当, 完全, 十分"
a running race,,n,跑步比赛
She raced her brother to the bus stop.,,v,她把哥哥赶到了公交车站。
racket,/'rækit/,n,"n. 球拍, 喧闹, 杂乱无章"
radio,/'reidiәu/,n,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台"
railway,/'reilwei/,n,"n. 铁路, 轨道"
rain,/rein/,n & v,"n. 雨, 下雨, 雨天"
raincoat,/'reinkәut/,n,n. 雨衣
rap,/ræp/,n,"n. 轻敲, 拍击, 责骂, 无价值的东西"
rather,/'ræðә/,adv,"adv. 宁可, 稍微, 相当"
read,/ri:d/,v,"v. 读, 阅读, 理解"
ready,/'redi/,adj,"n. 预备好的状态, 现款"
real,/'riәl/,adj,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的"
really,/'riәli/,adv,"adv. 实际上, 真实地, 实在"
receptionist,/ri'sepʃәnist/,n,n. 接待员
red,/red/,adj,"a. 红的, 红色的, 红肿的, 流血的"
reggae,"/'re,^ei/",n,n. 雷盖
remember,/ri'membә/,v,"vt. 记得, 回忆起, 记住, 铭记, 纪念"
rent,/rent/,v,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂"
repair,/ri'pєә/,v,"n. 修理, 补救, 修复"
rest,/rest/,n & v,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分"
restaurant,/'restәrɒŋ/,n,"n. 餐馆, 饭店"
return,/ri'tә:n/,n & v,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书"
my return from holiday,,n,我从假期回来
He returned home late.,,v,他回家晚了。
She returned her library books.,,v,她归还了图书馆的书籍。
rice,/rais/,n,"n. 米, 米饭, 稻"
rich,/ri:tʃ/,adj,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
ride,/raid/,n & v,"n. 骑马, 乘坐, 乘车, 搭便车"
right,/rait/,"n, adj & adv","n. 权利, 右边, 正义, 右派, 公正"
He swam to the right.,,n,他向右游去。
your right hand,,adj,你的右手
That’s the right answer.,,adj,这是正确的答案。
Turn right here.,,adv,在这里右转。
river,/'rivә/,n,"n. 河, 江"
road,/rәud/,n,"n. 路, 道路, 公路, 途径, 方法"
roast,/rәust/,v & adj,"n. 烤肉, 烘烤, 嘲笑"
rock,/rɒk/,n,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐"
roof,/ru:f/,n,"n. 屋顶, 室顶"
room,/ru:m/,n,"n. 房间, 空位, 场所"
round,/raund/,adj,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱"
roundabout,/'raundә.baut/,n,"a. 迂回的, 委婉的"
run,/rʌn/,v,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续"
sad,/sæd/,adj,"a. 忧愁的, 悲哀的"
safe,/seif/,adj,"n. 保险箱, 冷藏室"
sail,/seil/,v,"n. 帆, 篷, 帆船, 航程, 帆状物"
sailing,/'seiliŋ/,n,"n. 航行, 航海术, 启航"
salad,/'sælәd/,n,n. 色拉
sale,/seil/,n,"n. 出售, 卖, 拍卖, 销售额, 廉价出售"
salt,/sɒ:lt/,n,"n. 盐, 风趣, 刺激"
same,/seim/,adj & pron,"a. 相同的, 同样的"
at the same time,,adj,同时	tóngshí
Your watch is the same as mine.,,pron,你的手表和我的一样。
sandwich,/'sændwitʃ/,n,"n. 三明治, 夹心面包, 夹层板"
save,/seiv/,v,n. 救球
say,/sei/,v,"vt. 说, 讲, 念, 说明, 指明"
school,/sku:l/,n,"n. 学校, 鱼群, 门派, 学派"
screen,/skri:n/,n,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子"
scooter,/'sku:tә/,n,"n. 小型摩托车, 踏板车"
sea,/si:/,n,"n. 海, 海洋, 海浪, 大量"
seat,/si:t/,n,"n. 座, 座位, 位子, 席位, 所在地"
second,/'sekәnd/,n & adj,"n. 秒, 瞬间, 第二名, 支持者, 助手"
secretary,/'sekrәtәri/,n,"n. 秘书, 书记, 大臣"
see,/si:/,v,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意"
sell,/sel/,v,"vt. 卖, 背叛, 销售, 出卖"
send,/send/,v,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于"
sentence,/'sentәns/,n,"n. 句子, 命题, 宣判"
several,/'sevәrәl/,det & adj,"a. 几个的, 一些的, 各自的"
shall,/ʃæl/,v,aux. 将
shampoo,/ʃæm'pu:/,v & n,"n. 洗头, 洗发剂"
she,/ʃi:/,pron,pron. 她
sheet,/ʃi:t/,n,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片"
shelf,/ʃelf/,n,"n. 架子, 搁板"
ship,/ʃip/,n,"n. 船, 舰"
shirt,/ʃә:t/,n,"n. 衬衫, 内衣, 汗衫"
shoe,/ʃu:/,n,"n. 鞋, 靴, 外胎"
shop,/ʃɒp/,n & v,"n. 商店, 工厂, 车间"
shop assistant,/ʃɔp əˈsistənt/,n,n. 店员
short,/ʃɒ:t/,adj,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的"
shorts,/ʃɔ:ts/,n pl,"n. 短裤, (美)男人的短衬裤"
should,/ʃud/,v,"aux. 应该, 将要"
shout,/ʃaut/,v,"n. 呼喊, 喊声"
show,/ʃәu/,v & n,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相"
Show me your photos.,,v,给我看看你的照片。
a film show,,n,电影放映
shower,/'ʃauә/,n,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者"
shut,/ʃʌʃ/,v,n. 关闭
sick,/sik/,adj,n. 病人
side,/said/,n,"n. 旁边, 侧, 方面, 胁, 侧边, 血统"
silver,/'silvә/,n & adj,"n. 银, 银币, 银器"
since,/sins/,prep,"prep. 自...以后, 自...以来"
sincerely,/sin'siәli/,adv,adv. 真诚地
sing,/siŋ/,v,"vi. 唱, 唱歌, 演唱, 鸣, 啼"
single,/'siŋgl/,adj,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的"
sister,/'sistә/,n,"n. 姐妹, 姐, 妹, 护士, 修女"
sit,/sit/,v,"vi. 坐, 就座, 坐落"
sit down,,phr v,"坐下, 占据, 参加静坐罢工(或示威)"
sitting room,,n,起居室
size,/saiz/,n,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料"
skate,/skeit/,v,"n. 溜冰, 冰鞋"
skateboard,/'skeitbɔ:d/,n,n. 溜冰板
ski,/ski:/,v,n. 滑雪橇
skirt,/skә:t/,n,"n. 裙子, 下摆, 边缘, 郊区"
sky,/skai/,n,"n. 天空, 天色, 天堂"
sleep,/sli:p/,v,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠"
slice,/slais/,n,"n. 薄的切片, 一部分, 菜刀"
slow,/slәu/,adj,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的"
small,/smɒ:l/,adj,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的"
smoke,/smәuk/,v,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色"
snack,/snæk/,n,"n. 小吃, 点心, 快餐"
snow,/snәu/,n & v,"n. 雪, 积雪, 下雪, 雪花形干扰"
snowboard,/'snәubɔ:d/,n,n. 滑雪板
snowboarding,/ˈsnəʊbɔ:dɪŋ/,n,v. 测雪板(snowboard的现在分词 )
so,/sәu/,conj & adv,"adv. 如此, 如是, 如...那样"
"So, I think it’s right.",,conj,所以，我认为这是对的。
"He ate too much, so he felt ill.",,conj,他吃得太多，所以他觉得不舒服。
He wanted to go but he didn’t say so.,,adv,他想去，但没说。
soap,/sәup/,n,"n. 肥皂, 阿谀"
sock,/sɒk/,n,"n. 短袜, 鞋垫, 一击"
sofa,/'sәufә/,n,n. 沙发
soft,/sɒft/,adj,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的"
some,/sʌm/,det & pron,"pron. 一些, 一部分, 若干"
somebody,/'sʌmbɒdi/,pron,"n. 了不起的人, 大人物"
someone,/'sʌmwʌn/,pron,"pron. 有人, 某人"
something,/'sʌmθiŋ/,pron,"pron. 某事, 某物"
sometimes,/'sʌmtaimz/,adv,"adv. 有时, 时常, 往往"
somewhere,/'sʌmhwєә/,adv,"adv. 到某处, 在某处"
son,/sʌn/,n,"n. 儿子, 女婿, 子孙"
song,/sɒŋ/,n,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
soon,/su:n/,adv,"adv. 不久, 早, 快, 宁可"
sorry,/'sɒri/,adj,"a. 难过的, 悲哀的, 遗憾的"
sound,/saund/,v,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡"
soup,/su:p/,n,"n. 汤, 马力"
south,/sauθ/,"n, adj & adv","n. 南方, 南"
space,/speis/,n,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅"
speak,/spi:k/,v,"vi. 说, 说话, 演说, 发言"
special,/'speʃәl/,adj,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员"
spell,/spel/,v,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作"
spend,/spend/,v,"vt. 花费, 浪费, 度过, 消耗, 消磨"
spoon,/spu:n/,n,"n. 匙, 调羹, 匙形工具"
sport,/spɒ:t/,n,"n. 运动, 游戏, 娱乐, 消遣, 玩笑"
sports centre,/spɔ:ts ˈsentə/,n,"体育运动中心, 运动场"
spring,/spriŋ/,n,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉"
square,/skwєә/,n & adj,"n. 正方形, 街区, 广场, 平方, 直角尺"
stadium,/'steidiәm/,n,n. 露天大型运动场
staff,/stɑ:f/,n,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖"
stage,/steidʒ/,n,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架"
stairs,,n pl,n. 楼梯
stamp,/stæmp/,n,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚"
stand,/stænd/,v,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席"
star,/stɑ:/,n & v,"n. 星, 恒星, 星形物, 运气, 明星"
start,/stɑ:t/,v,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件"
station,/'steiʃәn/,n,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位"
stay,/stei/,v,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索"
steak,/steik/,n,"n. 牛排, 鱼排, 肉排"
steal,/sti:l/,v,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
still,/stil/,adv,"n. 蒸馏室, 寂静, 剧照"
stomach,/'stʌmәk/,n,"n. 胃, 食欲, 欲望, 肚子"
stop,/stɒp/,n & v,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓"
store,/stɒ:/,n,"n. 商店, 贮藏, 仓库, 备用品, 存储器"
storm,/stɒ:m/,n,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻"
story,/'stɒ:ri/,n,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
straight,/streit/,adj,"n. 直线, 直"
straight on,,adv,直开
strange,/streindʒ/,adj,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
street,/stri:t/,n,"n. 街道, 马路, 街区"
strong,/strɒŋ/,adj,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的"
student,/'stju:dnt/,n,"n. 学生, 研究者, 学者"
studies,,n pl,n. 研究；学习；学业（study的复数）
study,/'stʌdi/,v,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作"
subject,/'sʌbdʒekt/,n,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由"
success,/sәk'ses/,n,"n. 成功, 成就, 胜利"
such,/sʌtʃ/,det & adj,"a. 如此的, 这样的"
suddenly,/'sʌdәnli/,adv,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
sugar,/'ʃugә/,n,"n. 糖, 糖块, 甜言蜜语"
suit,/sju:t. su:t/,n,"n. 套装, 诉讼, 请求, 起诉, 套, 组"
suitcase,/'sju:tkeis/,n,n. 手提箱
summer,/'sʌmә/,n,"n. 夏季, 全盛时期"
sun,/sʌn/,n,"n. 太阳, 日, 日光, 阳光"
sunny,/'sʌni/,adj,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
supermarket,/'sju:pәmɑ:kit/,n,n. 超级市场
supper,/'sʌpә/,n,n. 晚餐
suppose,/sә'pәuz/,v,"vt. 推想, 假设, 以为, 想像, 假定"
sure,/ʃuә/,adj,"a. 确信, 必然的, 必定的"
surfboard,/'sә:fbɒ:d/,n,"n. 冲浪板, 用冲浪板滑水"
surfing,/'sә:fiŋ/,n,n. 冲浪运动
surname,/'sә:neim/,n,"n. 姓, 别号, 绰号"
surprise,/sә'praiz/,n,"n. 惊奇, 奇袭, 诧异"
surprised,/sә'praizd/,adj,a. 感到惊讶的
sweater,/'swetә/,n,"n. 毛衣, 毛线衫, 运动衫, 出汗者"
sweet,/swi:t/,n & adj,"n. 甜蜜, 糖果, 情人"
swim,/swim/,v,"n. 游泳, 漂浮, 潮流, 眩晕"
table,/'teibl/,n,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层"
table-tennis,,n,n. 乒乓球
take,/teik/,v,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费"
take off,,phr v,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开"
talk,/tɒ:k/,n & v,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言"
tall,/tɒ:l/,adj,"a. 高的, 长的, 夸大的"
taxi,/'tæksi/,n,n. 出租车
tea,/ti:/,n,"n. 茶, 茶叶"
teach,/ti:tʃ/,v,"vt. 教, 讲授, 教导, 教育"
team,/ti:m/,n,"n. 队, 组"
teenager,/'ti:nidʒә/,n,n. 十三岁到十九岁的少年
telephone,/'telifәun/,n & v,"n. 电话, 电话机"
television,/'teli.viʒәn/,n,n. 电视
tell,/tel/,v,"vt. 告诉, 说, 吩咐, 断定, 知道"
temperature,/'temprәtʃә/,n,"n. 温度, 发烧, 热度"
tennis,/'tenis/,n,n. 网球
tent,/tent/,n,"n. 帐篷, 帷幕, 住处, 塞条, 塞子"
term,/tә:m/,n,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石"
terrible,/'terәbl/,adj,"a. 可怕的, 令人恐惧的, 极坏的"
test,/test/,n,"n. 测试, 试验, 化验, 检验, 考验, 甲壳"
text,/tekst/,n & v,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱"
text book,,n,教科书
text message,/tekst ˈmesidʒ/,n,正文消息
than,/ðæn/,prep & conj,"conj. 比, 除...外"
thank,/θæŋk/,v,"n. 谢意, 感谢"
the,/ðә/,det,art. 那
theatre,,n,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
their,/ðєә/,det,pron. 他们的
theirs,/ðєәz/,pron,pron. 他们的
them,/ðem/,pron,"pron. 他们, 她们, 它们"
themselves,/ðәm'selvz/,pron,"pron. 他们自己, 她们自己, 它们自己"
then,/ðen/,adv,"adv. 然后, 当时"
there,/ðєә/,adv,adv. 在那里
these,/ði:z/,det & pron,pron. 这些
they,/ðei/,pron,"pron. 他们, 它们"
thin,/θin/,adj,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的"
thing,/θiŋ/,n,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
think,/θiŋk/,v,"vt. 想, 考虑, 想起, 想像, 打算, 认为"
thirsty,/'θә:sti/,adj,"a. 口渴的, 渴望的, 干燥的"
this,/θis/,det & pron,"pron. 这, 本"
those,/ðәuz/,det & pron,pron. 那些
through,/θru:/,prep,"adv. 穿越, 从头至尾, 到底, 因为"
throw,/θrәu/,v,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱"
thunderstorm,/'θʌndәstɒ:m/,n,n. 雷暴雨
ticket,/'tikit/,n,"n. 票, 券, 车票, 标签, 入场券, 证明书"
tidy,/'taidi/,adj & v,"n. 椅子的背罩, 装杂物的容器"
tidy up,,v,整理
tiger,/'taigә/,n,"n. 老虎, 虎, 凶暴的人"
tights,/taits/,n pl,n. 紧身衣裤
till,/til/,prep,"prep. 直到, 在...以前, 迄"
time,/taim/,n,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间"
tired,/taiәd/,adj,"a. 疲累的, 疲乏的, 厌倦的"
to,/tu:/,prep,"prep. 到, 向, 趋于"
today,/tә'dei/,n & adv,"n. 今天, 当今, 现在"
together,/tә'geðә/,adv,"adv. 一起, 共同, 彼此"
toilet,/'tɒilit/,n,"n. 厕所, 梳妆"
tomato,/tә'mɑ:tәu/,n,"n. 番茄, 西红柿"
tomorrow,/tә'mɒ:rәu/,n & adv,"n. 明天, 未来"
tonight,/tә'nait/,n & adv,"n. 今晚, 今夜"
too,/tu:/,adv,"adv. 也, 非常, 太"
tooth,/tu:θ/,n,"n. 牙齿, 齿状物, 爱好"
toothbrush,/'tu:θbrʌʃ/,n,n. 牙刷
top,/tɒp/,n,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺"
total,/'tәutl/,adj & n,"a. 全体的, 总的, 全然的"
tour,/tuә/,n & v,"n. 旅游, 观光旅行, 任期"
tour guide,,n,"旅游向导,导游"
tourist,/'tuәrist/,n,"n. 观光客, 旅行者"
tourist information centre,,n,旅游信息中心
towel,/'tauәl/,n,"n. 手巾, 毛巾"
town,/taun/,n,"n. 城镇, 市, 镇"
toy,/tɒi/,n,"n. 玩具, 小玩艺儿, 小型的东西, 消遣"
traffic,/'træfik/,n,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量"
traffic lights,,n pl,红绿灯
train,/trein/,n,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序"
trainers,,n pl,n. 训练员；运动鞋；练习器（trainer的复数）
tram,/træm/,n,"n. 电车轨道, 煤车, 纬纱, 纬丝"
travel,/'trævl/,v,"n. 旅行, 游历, 行进"
travel agent,,n,旅行代理人
tree,/tri:/,n,"n. 树, 木料, 树状物"
trip,/trip/,n,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程"
trouble,/'trʌbl/,n,"n. 烦恼, 麻烦, 困难, 动乱, 故障"
trousers,/'trauzәz/,n pl,"pl. 裤子, 长裤"
try,/trai/,v,"n. 尝试, 试验, 审理, 审判"
try on,,phr v,"试穿, 试验"
T-shirt,"/'ti:,ʃә:t/",n,"n. 圆领汗衫, T恤"
turn,/tә:n/,v,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折"
turn off,,phr v,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,,phr v,"开, 开始, 变得兴奋, 突然显出"
twice,/twais/,adv,"adv. 两次, 两倍"
type,/taip/,n,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式"
tyre,/'taiә/,n,n. 轮胎
umbrella,/ʌm'brelә/,n,"n. 伞, 雨伞, 保护伞"
uncle,/ʌŋkl/,n,"n. 叔父, 伯父, 姨丈"
under,/'ʌndә/,prep,"prep. 在...之下, 低于"
underground,/'ʌndәgraund/,n & adj,"n. 地下, 地铁, 地道, 秘密活动"
understand,/.ʌndә'stænd/,v,"vt. 理解, 了解, 领会, 听说, 懂"
uniform,/'ju:nifɒ:m/,n,n. 制服
university,/.ju:ni'vә:siti/,n,n. 大学
until,/әn'til/,prep,"prep. 直到, 在...以前"
up,/ʌp/,prep & adv,"a. 向上的, 起床的, 涨的"
upstairs,/'ʌp'stєәz/,adv,a. 楼上的
us,/ʌs/,pron,pron. 我们
use,/ju:s/,v,"n. 使用, 习惯, 使用价值, 用法, 使用权"
useful,/'ju:sful/,adj,"a. 有用的, 有益的"
usual,/'ju:ʒuәl/,adj,"a. 平常的, 通常的"
v / versus,/vi:/,prep,"[计] 溢出, 变量, 向量, 检验, 虚拟, 垂直"
variety,/vә'raiәti/,n,"n. 多样, 种类, 变种, 杂耍"
vegetable,/'vedʒәtәbl/,n,"n. 蔬菜, 植物, 无精打采之人"
very,/'veri/,adv,"a. 真正的, 恰好的, 十足的, 特有的"
video,/'vidiәu/,n,"n. 影像, 电视"
video recorder,,n,[计] 录象机
village,/'vilidʒ/,n,n. 村庄
violin,/.vaiә'lin/,n,n. 小提琴
visit,/'vizit/,v,"n. 拜访, 访问, 游览, 视察"
visitor,/'vizitә/,n,"n. 参观者, 游客, 访客"
volleyball,/'vɒlibɒ:l/,n,n. 排球
wait,/weit/,v,"n. 等待, 等候"
waiter,/'weitә/,n,n. 侍者
waitress,/'weitris/,n,"n. 女侍者, 女服务员"
wake up,,phr v,醒来
walk,/wɒ:k/,v,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所"
wall,/wɒ:l/,n,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障"
wallet,/'wɒlit/,n,n. 皮夹
want,/wɒnt/,v,"n. 需要的东西, 缺乏, 贫困, 需要"
warm,/wɒ:m/,adj,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的"
wash,/wɒʃ/,v,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地"
wash up,,phr v,"洗手洗脸, 洗餐具"
watch,/wɒtʃ/,n & v,"n. 观察, 手表, 看守, 守护, 监视, 值班人"
water,/'wɒ:tә/,n,"n. 水, 雨水, 海水, 水位, 水面, 流水"
way,/wei/,n,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面"
we,/wi:/,pron,pron. 我们
wear,/wєә/,v,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性"
weather,/'weðә/,n,"n. 天气, 气象, 处境"
website,,n,n. 网站（全球资讯网的主机站）
wedding,/'wediŋ/,n,"n. 婚礼, 结婚, 结婚周年纪念日, 结合"
week,/wi:k/,n,"n. 星期, 周"
weekday,/'wi:kdei/,n,"n. 周日, 平日"
weekend,/'wi:kend/,n,"n. 周末, 周末休假"
weekly,/'wi:kli/,adj & adv,"n. 周刊, 周报"
welcome,/'welkәm/,v,"n. 欢迎, 欢迎词"
well,/wel/,adv & adj,"n. 井, 泉水, 源泉, 好"
west,/west/,"n, adj & adv","n. 西方, 西部"
wet,/wet/,adj,"n. 湿气, 潮湿, 水分, 雨天"
whale,/hweil/,n,n. 鲸
what,/hwɒt/,det & pron,pron. 什么
wheel,/hwi:l/,n,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物"
when,/hwen/,adv,conj. 当...的时候
where,/hwєә/,adv,adv. 在哪里
which,/hwitʃ/,det & pron,"pron. 哪一个, 那一个"
while,/hwail/,conj,"n. 一会儿, (一段)时间"
white,/hwait/,adj,"n. 白色, 洁白, 眼白, 白种人, 蛋白"
who,/hu:/,pron,pron. 谁
whole,/hәul/,adj & n,"n. 全部, 全体, 整体, 完全之体系"
the whole world,,adj,到世界各地。
the whole of July,,n,整个7月
whose,/hu:z/,pron,pron. 谁的
why,/hwai/,adv,adv. 为什么
wife,/waif/,n,"n. 妻子, 太太, 夫人"
wild,/waild/,adj,"n. 荒野, 荒地"
will ('ll),/wil/,v,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱"
win,/win/,v,"vt. 赢得, 打胜, 成功"
wind,/wind/,n,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲"
window,/'windәu/,n,"n. 窗户, 窗子, 窗口"
windsurfing,/'wind.sә:fiŋ/,n,n. [体]帆板运动
windy,/'windi/,adj,"a. 多风的, 风强的, 腹胀的, 吹牛的"
winter,/'wintә/,n,"n. 冬季, 萧条期, 衰退期"
wishes,/wiʃiz/,n pl,n. （书信或贺卡等中的）祝愿( wish的名词复数 ); 渴望; 希望的事; 许愿
with,/wið/,prep,"prep. 和...在一起, 以, 由于"
without,/wi'ðaut/,prep,"prep. 没有, 不, 在...之外"
woman,/'wumәn/,n,"n. 女人, 妇女, 女仆"
wonderful,/'wʌndәful/,adj,"a. 令人惊奇的, 奇妙的, 极好的"
wood,/wud/,n,"n. 木材, 木制品"
wool,/wul/,n,"n. 羊毛, 毛织物, 毛线, 绒线"
word,/wә:d/,n,"n. 话, 消息, 词, 诺言, 命令"
